1,7.683
2,9.638
3,4.749
4,9.009
5,9.428
6,9.918
7,8.102
8,9.987
9,12.991
10,12.851
11,12.222
12,13.201
13,13.968
14,15.156
15,18.229
16,18.368
17,17.67
18,19.625
19,21.581
20,23.886
21,25.981
22,24.235
23,29.543
24,27.099
25,26.749
26,28.077
27,29.613
28,29.473
29,30.52
30,34.781
31,34.851
32,41.556
33,38.622
34,41.417
35,43.301
36,40.997
37,46.724
38,53.988
39,47.073
40,48.819
41,48.121
42,48.47
43,46.166
44,57.689
45,94.496
46,54.058
47,56.641
48,59.644
49,55.804
50,61.949
51,61.042
52,70.191
53,61.112
54,65.581
55,63.416
56,70.33
57,72.984
58,74.381
59,75.638
60,68.863
61,74.311
62,69.632
63,78.572
64,97.918
65,83.53
66,93.448
67,83.391
68,92.959
69,93.517
70,81.575
71,110.978
72,93.937
73,84.439
74,93.238
75,105.321
76,94.426
77,108.045
78,98.197
79,106.997
80,100.712
81,101.2
82,110.001
83,108.604
84,111.956
85,113.493
86,114.401
87,115.378
88,119.709
89,108.883
90,114.54
91,123.2
92,207.709
93,125.435
94,120.407
95,127.81
96,112.864
97,139.055
98,114.679
99,139.124
100,129.277
110,157.283
120,188.642
130,215.322
140,198.211
150,202.4
160,247.867
170,250.032
180,262.674
190,256.668
200,341.804
210,296.338
220,330.21
230,334.052
240,373.023
250,427.361
260,396.001
270,400.332
280,432.598
290,433.995
300,476.179
310,458.998
320,504.675
330,501.252
340,549.024
350,573.399
360,577.24
370,625.012
380,594.282
390,672.085
400,636.815
410,773.565
420,709.45
430,720.555
440,727.819
450,774.543
460,768.606
470,760.644
480,827.483
490,806.74
500,793.26
510,976.594
520,981.832
530,998.943
540,872.53
550,893.412
560,921.699
570,1014.448
580,985.464
590,1115.579
600,1084.15
610,1054.537
620,1130.595
630,1116.068
640,1141.42
650,1160.417
660,1177.109
670,1187.725
680,1232.703
690,1414.082
700,1445.65
710,1363.307
720,1370.779
730,1347.662
740,1439.574
750,1235.986
760,1479.453
770,1370.571
780,1387.053
790,1451.167
800,1603.212
810,1454.45
820,1484.831
830,1781.797
840,1565.987
850,1645.885
860,1532.882
870,1571.294
880,1632.197
890,1715.517
900,1727.391
910,1690.165
920,1726.622
930,1910.236
940,1856.737
950,1777.536
960,1736.679
970,1836.204
980,1915.404
990,1894.242
1000,1952.769
