1,1.0
2,4.0
3,6.0
4,7.0
5,8.0
6,11.0
7,12.0
8,14.0
9,16.0
10,20.0
11,20.0
12,22.0
13,25.0
14,27.0
15,35.0
16,35.0
17,37.0
18,39.0
19,41.0
20,42.0
21,45.0
22,48.0
23,50.0
24,53.0
25,55.0
26,58.0
27,59.0
28,63.0
29,64.0
30,69.0
31,70.0
32,73.0
33,75.0
34,78.0
35,84.0
36,91.0
37,86.0
38,89.0
39,96.0
40,101.0
41,115.0
42,106.0
43,102.0
44,105.0
45,114.0
46,109.0
47,112.0
48,122.0
49,120.0
50,132.0
51,130.0
52,138.0
53,131.0
54,131.0
55,145.0
56,139.0
57,148.0
58,145.0
59,150.0
60,150.0
61,156.0
62,150.0
63,164.0
64,158.0
65,168.0
66,167.0
67,174.0
68,181.0
69,175.0
70,182.0
71,180.0
72,199.0
73,197.0
74,190.0
75,199.0
76,202.0
77,198.0
78,206.0
79,207.0
80,209.0
81,219.0
82,218.0
83,216.0
84,222.0
85,228.0
86,231.0
87,229.0
88,233.0
89,237.0
90,238.0
91,239.0
92,254.0
93,263.0
94,255.0
95,252.0
96,270.0
97,251.0
98,282.0
99,267.0
100,266.0
